149,CC,231 - BARRIER-FREE WASHROOM,Missing grout on floor tiles,Lab Flooring,2024-05-28,2024-06-10,,,,
150,CC,230 - BOH STORAGE,Missing outlet covers near stone pillar,PPG,2024-05-28,2024-06-10,,,,
151,CC,,Missing baseboard/trim,Benmar,2024-06-05,2024-06-10,,,,
152,CC,,Paint required on West wall,Tuygun,2024-06-05,2024-06-10,,,,
153,CC,,Missing outlet covers on South wall near bathroom,PPG,2024-05-28,2024-06-10,,,,
155,CC,229B - CORRIDOR,Exposed electrical boxes and light switches,PPG,2024-05-28,2024-06-10,,,,
156,CC,224 - THEATRE,Seating to be installed,SDR Seating,2024-06-05,2024-06-10,,,,
157,CC,,Flooring to be installed,Lab Flooring,2024-06-05,2024-06-10,,,,
158,CC,,Exposed electrical boxes in Northwest corner,PPG,2024-06-05,2024-06-10,,,,
159,CC,,Exposed electrical boxes on West wall,PPG,2024-06-05,2024-06-10,,,,
160,CC,,Paint required on West wall,Tuygun,2024-06-05,2024-06-10,,,,
161,CC,,Storage room door hardware is incorrect - needs to be replaced,Upper Canada,2024-06-05,2024-06-10,,,,
162,CC,,Light sensor is not functioning in storage room,PPG,2024-06-05,2024-06-10,,,,
163,CC,,Missing PDO,Upper Canada,2024-06-05,2024-06-10,,,,
164,CC,,Missing baseboard/trim,Benmar,2024-06-05,2024-06-10,,,,
165,CC,229 - CORRIDOR,Missing outlet covers,PPG,2024-05-28,2024-06-10,,,,
166,CC,,"Exposed wood on North wall, needs covering",Benmar,2024-05-28,2024-06-10,,,,
167,CC,,Missing TV,Branch A/V,2024-06-05,2024-06-10,,,,
168,CC,,Paint required on doorframe,Tuygun,2024-06-05,2024-06-10,,,,
169,CC,,Fire alarm cover to be removed,PPG,2024-06-05,2024-06-10,,,,
170,CC,,Missing baseboard/trim,Benmar,2024-06-05,2024-06-10,,,,
171,CC,,Missing flooring,Lab Flooring,2024-06-05,2024-06-10,,,,
172,CC,,Fountain not working,Swift,2024-06-05,2024-06-10,,,,
173,CC,,Painting required above doorwar 229A,Tuygun,2024-05-28,2024-06-10,,,,
174,CC,228 - JANITORIAL STORAGE ROOM,Missing outlet covers,PPG,2024-05-28,2024-06-10,,,,
175,CC,,Paint required East walls,Tuygun,2024-05-28,2024-06-10,,,,
176,CC,233 - UNISEX WASHROOM,Missing grout/sealant in corners in all typical bathroom stalls,Lab Flooring,2024-05-28,2024-06-10,,,,
177,CC,,Missing wall grout in 4th stall on left hand side from entrance,Lab Flooring,2024-05-28,2024-06-10,,,,
178,CC,,Missing change table,CCL,2024-06-06,2024-06-10,,,,
179,CC,,Missing central sink,Swift,2024-06-06,2024-06-10,,,,
180,CC,,Missing mirror in central area,Westmount,2024-06-06,2024-06-10,,,,
181,CC,,Missing wall grout around cutout in 1st stall on left hand side from entrance,Lab Flooring,2024-05-28,2024-06-10,,,,
182,CC,,Missing outlet covers in barrier free stall on left hand side form entrance,PPG,2024-05-28,2024-06-10,,,,
183,CC,,Heater insulation is missing,Swift,2024-06-06,2024-06-10,,,,
184,CC,,Exposed wiring on South side of middle island,PPG,2024-05-28,2024-06-10,,,,
185,CC,,Paint needed at entrance of room 233,Tuygun,2024-05-28,2024-06-10,,,,
186,CC,,Missing corner guards outside room on elevator wall,Benmar,2024-06-05,2024-06-10,,,,
187,CC,,Sinks not installed in any typical bathroom stalls,Swift,2024-06-05,2024-06-10,,,,
188,CC,,Missing baseboard/trim,Benmar,2024-06-05,2024-06-10,,,,
189,CC,,Drywall patching needed at entrance of room 233,Benmar,2024-05-28,2024-06-10,,,,
190,CC,220 - PRE-FUNCTION AREA (LOBBY),Missing flooring for entire lobby,Lab Flooring,2024-05-28,2024-06-10,,,,
191,CC,,Paint needed on walls east of passenger elevator,Tuygun,2024-05-28,2024-06-10,,,,
192,CC,,Missing outlet covers on North walls,PPG,2024-05-28,2024-06-10,,,,
193,CC,,"Exposed wood in entrances of both vestibules, needs covering",Benmar,2024-05-28,2024-06-10,,,,
194,CC,,Multiple gaps in ceiling where insulation is visible,Benmar,2024-05-28,2024-06-10,,,,
195,CC,,Missing outlet covers on West side of passenger elevator,PPG,2024-05-28,2024-06-10,,,,
196,CC,,Drywall patching needed on northwest corner of passenger elevator,Benmar,2024-05-28,2024-06-10,,,,
197,CC,,Wires hanging from ceiling in multiple locations ,PPG,2024-05-28,2024-06-10,,,,
198,CC,,Exposed wood near refreshments counter,Benmar,2024-05-28,2024-06-10,,,,
199,CC,,Cables hanging from ceiling in multiple locations,PPG,2024-05-28,2024-06-10,,,,
200,CC,,Fire alarm covers to be removed,PPG,2024-05-28,2024-06-10,,,,
201,CC,,Railing for stairs not installed - temporary wood railing in its place,Westmount,2024-05-28,2024-06-10,,,,
202,CC,,Paint required by West window,Tuygun,2024-05-28,2024-06-10,,,,
203,CC,,Drywall patching required in Northwest corner near janitor closet,Benmar,2024-05-28,2024-06-10,,,,
204,CC,226 - REFRESHMENTS SERVERY,Missing flooring for refreshments servery,Lab Flooring,2024-05-28,2024-06-10,,,,
205,CC,,Incomplete millwork (shelves),Ladson,2024-05-28,2024-06-10,,,,
206,CC,,Exposed electrical boxes,PPG,2024-05-28,2024-06-10,,,,
207,CC,226A - BAR STORAGE,Paint required on all walls,Tuygun,2024-06-05,2024-06-10,,,,
208,CC,,Missing flooring for bar storage,Lab Flooring,2024-05-28,2024-06-10,,,,
209,CC,223 - VESTIBULE 01,Exposed electrical boxes,PPG,2024-05-28,2024-06-10,,,,
210,CC,,Exposed wood near theatre entrance,Lab Flooring,2024-05-28,2024-06-10,,,,
211,CC,222 - JANITOR,Paint required on all walls,Tuygun,2024-05-28,2024-06-10,,,,
212,CC,,Flooring missing outside room,Lab Flooring,2024-05-28,2024-06-10,,,,
213,CC,,"Paint needed outside room, near entrance to stair A",Tuygun,2024-05-28,2024-06-10,,,,
214,CC,,Eyewash station not working,Swift,2024-06-06,2024-06-10,,,,
215,CC,,Plumbing incomplete,Swift,2024-06-06,2024-06-10,,,,
216,CC,,Insulation covers for heater needed outside room,Swift,2024-05-28,2024-06-10,,,,
217,CC,,Corner guards not installed outside room,Benmar,2024-06-05,2024-06-10,,,,
218,CC,,Baseboard missing outside room,Benmar,2024-06-05,2024-06-10,,,,
219,CC,,Pipes in stairwell need paint,Tuygun,2024-06-05,2024-06-10,,,,
220,CC,,Fire alarm not installed correctly (hanging out from wall),PPG,2024-05-28,2024-06-10,,,,
221,CC,301 - GREEN ROOM/STAFF LOUNGE,Window sills need paint,Tuygun,2024-05-28,2024-06-10,,,,
222,CC,,Missing TV,Branch A/V,2024-06-05,2024-06-10,,,,
223,CC,,Paint required on door,Tuygun,2024-06-05,2024-06-10,,,,
224,CC,,Damaged ceiling tile near door,Benmar,2024-05-28,2024-06-10,,,,
225,CC,,Missing ceiling tiles in middle of room,Benmar,2024-05-28,2024-06-10,,,,
226,CC,,Fridge compartment needs backing,Benmar,2024-05-28,2024-06-10,,,,
227,CC,,Missing wall grout above countertop,Benmar,2024-05-28,2024-06-10,,,,
228,CC,,Damaged ceiling tile near West wall,Benmar,2024-05-28,2024-06-10,,,,
229,CC,,Damaged ceiling tile near North wall,Benmar,2024-05-28,2024-06-10,,,,
,,,Missing sink,Swift,2024-06-10,2024-06-13,,,,
230,CC,,Damaged ceiling tile in Southeast corner,Benmar,2024-05-28,2024-06-10,,,,
231,CC,,Missing baseboard/trim,Benmar,2024-05-28,2024-06-10,,,,
232,CC,,Missing outlet covers,PPG,2024-05-28,2024-06-10,,,,
233,CC,301 - CORRIDOR,Missing PDO,Upper Canada,2024-06-05,2024-06-10,,,,
234,CC,,Damaged ceiling tile in front of elevator,Benmar,2024-05-28,2024-06-10,,,,
235,CC,302 - THEATRE TECH. OFFICE,Missing trim/baseboard,Benmar,2024-05-28,2024-06-10,,,,
236,CC,,Exposed electrical boxes,PPG,2024-06-05,2024-06-10,,,,
237,CC,,Missing vent cover,Swift,2024-05-28,2024-06-10,,,,
238,CC,304 - CHANGEROOM 1,Paint needed on all walls,Tuygun,2024-05-28,2024-06-10,,,,
239,CC,,Missing trim/baseboard,Benmar,2024-05-28,2024-06-10,,,,
240,CC,,Exposed electrical boxes,PPG,2024-05-28,2024-06-10,,,,
241,CC,,Sink not working,Swift,2024-06-05,2024-06-10,,,,
242,CC,,Shower missing,Swift,2024-06-05,2024-06-10,,,,
243,CC,,Mirror lights not working,PPG,2024-06-05,2024-06-10,,,,
244,CC,,Sink in bathroom not working,Swift,2024-06-05,2024-06-10,,,,
245,CC,,ADO not working,Upper Canada,2024-06-05,2024-06-10,,,,
246,CC,,ADO not installed,Upper Canada,2024-06-05,2024-06-10,,,,
247,CC,,Deficient millwork (shelves),Ladson,2024-06-05,2024-06-10,,,,
248,CC,,Missing shower curtain,CCL,2024-06-05,2024-06-10,,,,
249,CC,,Ceiling grille not installed,Benmar,2024-06-05,2024-06-10,,,,
250,CC,,Electrical box open on ceiling,PPG,2024-06-05,2024-06-10,,,,
251,CC,,paint on door frame,Tuygun,2024-06-05,2024-06-10,,,,
252,CC,,Hole in door,Upper Canada,2024-06-05,2024-06-10,,,,
253,CC,,Incomplete millwork (countertop) - completed,Ladson,2024-05-28,2024-06-10,,,,
254,CC,305 - CHANGEROOM 2,Paint needed on all walls,Tuygun,2024-05-28,2024-06-10,,,,
255,CC,,Sink not working,Swift,2024-06-05,2024-06-10,,,,
256,CC,,Shower missing,Swift,2024-06-05,2024-06-10,,,,
